Wall time,Step,Value
1713491624.4768379,5120,19.245712280273438
1713491635.8547847,5130,20.420045852661133
1713491647.357624,5140,20.541141510009766
1713491659.084824,5150,19.876394271850586
1713491692.1105883,5180,21.39175796508789
1713491703.408056,5190,19.290021896362305
1713491714.7156878,5200,19.660728454589844
1713491868.0229135,5340,20.189008712768555
1713491879.085055,5350,20.402545928955078
1713491901.0362706,5370,20.703384399414062
1713491911.9690573,5380,20.998863220214844
1713491922.8760629,5390,20.226354598999023
1713491944.7898247,5410,21.216419219970703
1713491966.2464077,5430,20.160064697265625
1713491988.5395453,5450,20.2012996673584
1713492010.5559528,5470,21.788829803466797
1713492054.3998485,5510,19.930315017700195
1713492076.5832624,5530,19.736602783203125
1713492109.22348,5560,19.454877853393555
1713492120.378387,5570,19.93745994567871
1713492187.8623219,5630,20.969263076782227
1713492210.452585,5650,19.82607650756836
1713492254.9191375,5690,19.750743865966797
1713492291.4723258,5720,20.889726638793945
1713492314.2394664,5740,19.1948184967041
1713492438.7819693,5850,20.677358627319336
1713492450.9730008,5860,20.222333908081055
1713492485.9471421,5890,20.1673583984375
1713492509.212501,5910,20.300731658935547
1713492520.9535096,5920,19.634639739990234
1713492555.7013562,5950,20.32232093811035
1713492577.8135478,5970,19.38896942138672
1713492646.3672206,6030,19.934560775756836
1713492657.9303389,6040,20.91193199157715
1713492713.771985,6090,21.086366653442383
1713492769.5693378,6140,20.084487915039062
1713492780.9307742,6150,20.13022804260254
1713492803.053436,6170,19.964948654174805
1713492868.9569616,6230,19.486963272094727
1713492879.791873,6240,21.351299285888672
1713492913.1861646,6270,19.991317749023438
1713492934.6762197,6290,19.410308837890625
1713492945.4487233,6300,19.293630599975586
1713492989.6357985,6340,20.505693435668945
1713493033.6054218,6380,21.38200569152832
1713493066.5480902,6410,19.90289306640625
1713493088.5278964,6430,19.045869827270508
1713493099.6468093,6440,20.443071365356445
1713493110.8071573,6450,17.905410766601562
1713493166.4331043,6500,20.223852157592773
1713493189.1661544,6520,18.95460319519043
1713493234.1766818,6560,19.53656768798828
1713493267.7904978,6590,19.568660736083984
1713493289.4099016,6610,20.188669204711914
1713493368.7610486,6680,19.046920776367188
1713493403.0454974,6710,19.722021102905273
1713493459.7939732,6760,21.48657989501953
1713493471.459325,6770,21.856643676757812
1713493517.0446923,6810,19.925682067871094
1713493562.1596112,6850,19.640275955200195
1713493654.1329572,6930,20.044294357299805
1713493677.0077817,6950,19.668264389038086
1713493700.0203865,6970,21.011829376220703
1713493711.5034893,6980,20.84990692138672
1713493733.7600236,7000,19.071380615234375
1713493767.4317892,7030,20.620418548583984
1713493858.2333038,7110,20.405961990356445
1713493914.3782568,7160,19.928173065185547
1713493937.0717647,7180,20.246540069580078
1713493970.5371578,7210,19.596120834350586
1713493981.5829833,7220,21.84928321838379
1713494004.538009,7240,19.887493133544922
1713494026.4563942,7260,21.420129776000977
1713494037.5504422,7270,21.481428146362305
1713494060.1363277,7290,20.29283332824707
1713494071.5954654,7300,19.77273941040039
1713494094.804683,7320,20.37860870361328
1713494106.1486382,7330,19.175453186035156
1713494117.850282,7340,20.170194625854492
1713494175.0083804,7390,19.13578224182129
1713494219.4971926,7430,20.188066482543945
1713494241.5650914,7450,19.577533721923828
1713494377.6964703,7570,20.298852920532227
1713494401.2276027,7590,19.479049682617188
1713494470.094597,7650,20.448354721069336
1713494481.2560208,7660,19.760478973388672
1713494527.7917154,7700,21.60566520690918
1713494562.35819,7730,20.21079444885254
1713494596.0358126,7760,20.252843856811523
1713494607.3198419,7770,18.661495208740234
1713494629.4985712,7790,19.436790466308594
1713494641.0310977,7800,20.243152618408203
1713494652.3028553,7810,20.917234420776367
1713494675.1938093,7830,18.881258010864258
1713494744.3713744,7890,20.332489013671875
1713494928.2367504,8050,20.23268699645996
1713494939.118514,8060,20.395719528198242
1713494950.5710285,8070,20.043020248413086
1713494962.2184796,8080,19.903902053833008
1713494996.4931378,8110,20.144079208374023
1713495086.2215905,8190,20.26506233215332
1713495097.9535093,8200,19.468339920043945
1713495200.3342404,8290,20.96669578552246
1713495246.031537,8330,20.864410400390625
1713495257.4572725,8340,20.622718811035156
1713495280.390916,8360,18.82805824279785
1713495292.0895195,8370,21.012136459350586
1713495325.8743098,8400,20.158517837524414
1713495337.1867282,8410,20.79279327392578
1713495371.8042157,8440,21.107200622558594
1713495394.327188,8460,19.56235694885254
1713495460.1018045,8520,20.70936393737793
1713495526.7627234,8580,18.591493606567383
1713495559.2760983,8610,19.681135177612305
1713495581.4761534,8630,20.601280212402344
1713495625.1476598,8670,20.28904914855957
1713495669.0627933,8710,21.323001861572266
1713495679.8763,8720,20.170238494873047
1713495821.8006926,8850,20.96581268310547
1713495843.5600305,8870,20.23162841796875
1713495887.1532013,8910,19.606863021850586
1713495909.520634,8930,19.964448928833008
1713495942.3133626,8960,20.96829605102539
1713495964.282821,8980,19.987512588500977
1713495975.2125392,8990,20.73845100402832
1713496008.0306895,9020,19.314050674438477
1713496019.112579,9030,19.327741622924805
1713496073.6449804,9080,20.399456024169922
1713496084.6615758,9090,19.671913146972656
1713496105.9272382,9110,20.220745086669922
